オーナー,馬名,購買価格,ポイント
みしお,フローラルカーヴ,5840,280
みしお,プロトカルチャー,1200,0
みしお,ブリタニア,3310,0
みしお,ドゥフレーシュ,820,0
みしお,オンザスカイ,1660,0
さんごう,ラブリーヨシノ,560,0
さんごう,アスクドリームモア,2710,700
さんごう,プエルトボニータ,3660,0
さんごう,ヨシノカトリヤ,450,0
さんごう,キャッチザロマンス,340,0
みこと,プレリュードフィズ,1760,0
みこと,ベアサッチャー,3320,0
みこと,クイーンオブソウル,3270,0
みこと,キラメクナギサ,2210,0
みこと,シンデレラロマンス,1600,0
ひびき,エミサキホコル,2310,70
ひびき,レインメーカー,2310,0
ひびき,ヨシノレジェンド,360,0
ひびき,エイガウマザンマイ,450,0
ひびき,ハットグットゲット,1980,0
